Trade,Cumulative PnL INR,Peak,Drawdown,Drawdown %
1,-817.5,-817.5,0,0
2,-1507.5,-817.5,-690,84.40366972
3,-4606.5,-817.5,-3789,463.4862385
4,-2400,-817.5,-1582.5,193.5779817
5,-5203.5,-817.5,-4386,536.5137615
6,-8230.5,-817.5,-7413,906.7889908
7,-3801,-817.5,-2983.5,364.9541284
8,10617,10617,0,0
9,2871,10617,-7746,-72.95846284
10,15466.5,15466.5,0,0
11,12453,15466.5,-3013.5,-19.48404616
12,10104,15466.5,-5362.5,-34.67170982
13,6826.5,15466.5,-8640,-55.86267093
14,8224.5,15466.5,-7242,-46.82378043
15,3957,15466.5,-11509.5,-74.41567258
16,21102,21102,0,0
17,25129.5,25129.5,0,0
18,18940.5,25129.5,-6189,-24.62842476
19,39042,39042,0,0
20,40255.5,40255.5,0,0
21,52827,52827,0,0
22,47400,52827,-5427,-10.27315577
23,43113,52827,-9714,-18.38832415
24,42678,52827,-10149,-19.21176671
25,50466,52827,-2361,-4.469305469
26,45024,52827,-7803,-14.77085581
27,53068.5,53068.5,0,0
28,57285,57285,0,0
29,57807,57807,0,0
30,63747,63747,0,0
31,63030,63747,-717,-1.124758812
32,75034.5,75034.5,0,0
33,75219,75219,0,0
34,72742.5,75219,-2476.5,-3.292386232
35,78067.5,78067.5,0,0
36,76459.5,78067.5,-1608,-2.05975598
37,70095,78067.5,-7972.5,-10.21231626
38,66789,78067.5,-11278.5,-14.44711308
39,71784,78067.5,-6283.5,-8.04880392
40,69778.5,78067.5,-8289,-10.61773465
41,65911.5,78067.5,-12156,-15.57114036
42,63267,78067.5,-14800.5,-18.95859352
43,69303,78067.5,-8764.5,-11.22682294
44,83089.5,83089.5,0,0
45,76801.5,83089.5,-6288,-7.567743217
46,89253,89253,0,0
47,83508,89253,-5745,-6.436758428
48,79597.5,89253,-9655.5,-10.81812376
49,75937.5,89253,-13315.5,-14.91882626
50,82345.5,89253,-6907.5,-7.739235656
51,99775.5,99775.5,0,0
52,95347.5,99775.5,-4428,-4.437963227
53,100879.5,100879.5,0,0
54,96208.5,100879.5,-4671,-4.630276716
55,96531,100879.5,-4348.5,-4.310588375
56,92080.5,100879.5,-8799,-8.722287482
57,88072.5,100879.5,-12807,-12.69534445
58,87801,100879.5,-13078.5,-12.96447742
59,94344,100879.5,-6535.5,-6.478521404
60,96355.5,100879.5,-4524,-4.48455831
61,94599,100879.5,-6280.5,-6.225744576
62,98136,100879.5,-2743.5,-2.719581283
63,92182.5,100879.5,-8697,-8.62117675
64,88669.5,100879.5,-12210,-12.10354928
65,111115.5,111115.5,0,0
66,107859,111115.5,-3256.5,-2.930734236
67,118131,118131,0,0
68,111013.5,118131,-7117.5,-6.025090789
69,106107,118131,-12024,-10.17853061
70,118822.5,118822.5,0,0
71,118714.5,118822.5,-108,-0.090891877
72,123522,123522,0,0
73,120667.5,123522,-2854.5,-2.31092437
74,118999.5,123522,-4522.5,-3.661291106
75,118618.5,123522,-4903.5,-3.969738184
76,115513.5,123522,-8008.5,-6.483460436
77,113256,123522,-10266,-8.311070093
78,110109,123522,-13413,-10.85879438
79,107032.5,123522,-16489.5,-13.34944382
80,113091,123522,-10431,-8.444649536
81,109033.5,123522,-14488.5,-11.72948948
82,106761,123522,-16761,-13.56924273
83,105355.5,123522,-18166.5,-14.70709671
84,104328,123522,-19194,-15.53893234
85,101716.5,123522,-21805.5,-17.65313062
86,103930.5,123522,-19591.5,-15.86073736
87,113244,123522,-10278,-8.320784961
88,109227,123522,-14295,-11.57283723
89,110806.5,123522,-12715.5,-10.29411765
90,108648,123522,-14874,-12.04157964
91,111529.5,123522,-11992.5,-9.708796814
92,107044.5,123522,-16477.5,-13.33972896
93,103908,123522,-19614,-15.87895274
94,98203.5,123522,-25318.5,-20.4971584
95,97314,123522,-26208,-21.21727304
96,102774,123522,-20748,-16.79700782
97,100600.5,123522,-22921.5,-18.5566134
98,94696.5,123522,-28825.5,-23.33632875
99,100912.5,123522,-22609.5,-18.30402681
100,111045,123522,-12477,-10.10103463
101,109467,123522,-14055,-11.37853986
102,110976,123522,-12546,-10.15689513
103,106371,123522,-17151,-13.88497596
104,102999,123522,-20523,-16.61485403
105,125494.5,125494.5,0,0
106,133969.5,133969.5,0,0
107,135840,135840,0,0
108,131743.5,135840,-4096.5,-3.015680212
109,126729,135840,-9111,-6.707155477
110,124698,135840,-11142,-8.20229682
111,117612,135840,-18228,-13.41872792
112,118989,135840,-16851,-12.40503534
113,114160.5,135840,-21679.5,-15.95958481
114,115645.5,135840,-20194.5,-14.86638693
115,112453.5,135840,-23386.5,-17.21621025
116,112645.5,135840,-23194.5,-17.07486749
117,109678.5,135840,-26161.5,-19.25905477
118,108220.5,135840,-27619.5,-20.33237633
119,107839.5,135840,-28000.5,-20.61285336
120,111678,135840,-24162,-17.78710247
121,108793.5,135840,-27046.5,-19.91055654
122,104707.5,135840,-31132.5,-22.91850707
123,112782,135840,-23058,-16.97438163
124,110577,135840,-25263,-18.59761484
125,107245.5,135840,-28594.5,-21.05013251
126,111090,135840,-24750,-18.21996466
127,110266.5,135840,-25573.5,-18.82619258
128,115083,135840,-20757,-15.28047703
129,142165.5,142165.5,0,0
130,137217,142165.5,-4948.5,-3.480802304
131,136117.5,142165.5,-6048,-4.254196693
132,135822,142165.5,-6343.5,-4.46205303
133,140169,142165.5,-1996.5,-1.404349156
134,138289.5,142165.5,-3876,-2.726399865
135,132861,142165.5,-9304.5,-6.544836828
136,133744.5,142165.5,-8421,-5.923378035
137,130044,142165.5,-12121.5,-8.526330228
138,126550.5,142165.5,-15615,-10.98367747
139,135588,142165.5,-6577.5,-4.626649926
140,136488,142165.5,-5677.5,-3.993584941
